state,year,quarter,transaction_count,transaction_amount,transaction_type_Financial Services,transaction_type_Merchant payments,transaction_type_Others,transaction_type_Peer-to-peer payments,transaction_type_Recharge & bill payments,avg_amount_per_transaction,amount_scaled,count_scaled,principal_component_1,principal_component_2
rajasthan,2021,3,815568,524328574.25040925,False,False,True,False,False,642.8998860308512,-0.25368750775306803,-0.2716077865432084,-68113407222.760704,-17068694.37447881
bihar,2020,1,23163922,99873688132.9031,False,False,False,True,False,4311.6052684387,0.11633797457204402,-0.13943158993897234,31235952888.625076,-36807528.52766545
bihar,2020,1,13837430,3680590624.9006104,False,False,False,False,True,265.9880212511001,-0.24193204810215002,-0.19459181517165994,-64957139938.89579,-5383915.020332962
bihar,2020,1,7822567,5562692116.5708065,False,True,False,False,False,711.1082738659582,-0.23492218396881429,-0.23016587643968642,-63075041164.17267,-12196088.667935789
bihar,2020,1,57233,23954789.407903705,True,False,False,False,False,418.5485542939162,-0.2555511438338813,-0.27609285224656505,-68613781283.95652,-17615056.881852515
bihar,2020,1,200663,115927863.46366584,False,False,True,False,False,577.7241617222201,-0.25520859123727074,-0.2752445556839213,-68521808157.392555,-17510589.278632943
bihar,2020,4,49432098,208484557891.42865,False,False,False,True,False,4217.594767906243,0.5208578390853343,0.015927842590630285,139846824029.39154,-56549977.53507866
bihar,2020,4,26750991,23185594534.30522,False,True,False,False,False,866.7190884369563,-0.16928589807770278,-0.1182163748328862,-45452132309.13516,-733224.0490541235
bihar,2020,4,19908687,6926960996.688756,False,False,False,False,True,347.9366066023719,-0.22984098110420237,-0.15868421952202755,-61710767286.45038,-687912.464573916
bihar,2020,4,119416,100785736.00790763,True,False,False,False,False,843.9885443148961,-0.25526498790696384,-0.2757250796386387,-68536950317.90812,-17585421.639786497
bihar,2020,4,380481,207713978.04223877,False,False,True,False,False,545.9247059438941,-0.254866734968961,-0.27418104741297744,-68430021974.87402,-17369654.47737961
bihar,2020,2,26572651,116244368941.33606,False,False,False,True,False,4374.5868239241945,0.17731037629703617,-0.11927114168069967,47606633672.14368,-40333881.18294886
bihar,2020,2,19522564,5642294772.453551,False,False,False,False,True,289.0140235910381,-0.2346257048443567,-0.16096788970021683,-62995433558.98453,-529814.6442324407
bihar,2020,2,7011681,6760404421.62296,False,True,False,False,False,964.1631474140024,-0.23046131904394274,-0.23496174764163816,-61877329310.10587,-13514359.25229016
bihar,2020,2,73119,54077813.2606806,True,False,False,False,False,739.5863354351209,-0.25543895099761404,-0.27599889673381206,-68583658256.07694,-17611931.844373852
bihar,2020,2,206727,105377680.17075577,False,False,True,False,False,509.74318870179405,-0.25524788526673325,-0.2752086910087775,-68532358337.169914,-17500055.924466424
bihar,2020,3,37294332,153664683751.53278,False,False,False,True,False,4120.322727634129,0.31668188405422565,-0.05585926733040514,85026949666.60612,-45464500.16459701
bihar,2020,3,19027978,6313780616.601829,False,False,False,False,True,331.81563572345044,-0.2321247639781122,-0.1638930490373968,-62323947984.60951,-1308860.9108592384
bihar,2020,3,14777337,13111735855.02769,False,True,False,False,False,887.2867861799248,-0.20680586230529335,-0.18903286741104644,-55525995156.858185,-8439306.782500343
bihar,2020,3,104135,81355476.16367023,True,False,False,False,False,781.2500711928768,-0.25533735567362587,-0.27581545696398035,-68556380582.48234,-17592471.433235962
bihar,2020,3,299966,157309412.49242482,False,False,True,False,False,524.4241430442944,-0.25505446616080574,-0.27465724205664516,-68480426570.00944,-17428816.67691683
bihar,2022,1,138085265,500024806542.69324,False,False,False,True,False,3621.1308030780347,1.6066959522206279,0.5402545304075572,431387084076.60736,-91401476.89025453
bihar,2022,1,114892163,95507710275.50963,False,True,False,False,False,831.2813318303497,0.1000769431000794,0.4030821905648064,26870014281.65831,56770255.397340395
bihar,2022,1,30545266,15431605247.390364,False,False,False,False,True,505.2044807005565,-0.19816553694583813,-0.09577566898177352,-53206119292.91964,6345858.806094296
bihar,2022,1,169722,148088975.22896564,True,False,False,False,False,872.53847603119,-0.2550888075673414,-0.2754275518768012,-68489647061.62057,-17555154.628379863
bihar,2022,1,698018,299484690.3236611,False,False,True,False,False,429.05009659301203,-0.2545249360663198,-0.2723030194856805,-68338251136.30961,-17090994.163637094
bihar,2022,4,243777692,172924170171.63205,False,True,False,False,False,709.3519048151135,0.38841360717342627,1.165357525050065,104286521830.70909,152859980.55923524
bihar,2022,4,225487662,739870172148.0806,False,False,False,True,False,3281.2002465486585,2.4999971016777796,1.0571837149709256,671232465186.6877,-105604338.07149646
bihar,2022,4,47054083,22729599211.247635,False,False,False,False,True,483.0526441509366,-0.17098424711691088,0.001863407323146051,-45908118990.31464,19763038.587718897
bihar,2022,4,205989,199208429.5113938,True,False,False,False,False,967.0828515668011,-0.2548984137810998,-0.2752130558059833,-68438527596.561386,-17540543.271868933
bihar,2022,4,559223,288999714.3604311,False,False,True,False,False,516.7879617977642,-0.2545639872318754,-0.2731239029927023,-68348736170.129486,-17225347.420133255
bihar,2022,2,164119431,610448610667.7207,False,False,False,True,False,3719.5389171664915,2.0179680687501236,0.6942299437039153,541810889322.06714,-112145945.92218786
bihar,2022,2,158289353,126423430586.42947,False,True,False,False,False,798.6856234508045,0.2152221676923205,0.6597487673297613,57785750202.769485,87070671.86732247
bihar,2022,2,36950622,17225668601.948982,False,False,False,False,True,466.18074797087263,-0.1914835697842839,-0.05789209178516552,-51412053385.8539,11991198.477842584
bihar,2022,2,124199,116203820.91131489,True,False,False,False,False,935.6260590770851,-0.2552075634371106,-0.27569679125783186,-68521532232.36197,-17587170.175116915
